NCBITaxon:101915	Pachychilon macedonicum	http://aims.fao.org/aos/agrovoc/c_40441	Pachychilon macedonicum	organisms	
NCBITaxon:101916	Tropidophoxinellus hellenicus	http://aims.fao.org/aos/agrovoc/c_40501	Tropidophoxinellus hellenicus	organisms	
NCBITaxon:10193	Brachionidae	http://aims.fao.org/aos/agrovoc/c_49320	Brachionidae	organisms	
NCBITaxon:10194	Brachionus	http://aims.fao.org/aos/agrovoc/c_24730	Brachionus	organisms	
NCBITaxon:10195	Brachionus plicatilis	http://aims.fao.org/aos/agrovoc/c_49321	Brachionus plicatilis	organisms	
NCBITaxon:10197	Ctenophora <comb jellyfish phylum>	http://aims.fao.org/aos/agrovoc/c_10188	Ctenophora	organisms	
NCBITaxon:101992	Plantago media	http://aims.fao.org/aos/agrovoc/c_92348	Plantago media	organisms	
NCBITaxon:10205	Bryozoa	http://aims.fao.org/aos/agrovoc/c_6098	Bryozoa	organisms	
NCBITaxon:10213	Mesozoa	http://aims.fao.org/aos/agrovoc/c_4763	Mesozoa	organisms	
NCBITaxon:102136	Peronospora viciae	http://aims.fao.org/aos/agrovoc/c_34707	Peronospora viciae	organisms	
NCBITaxon:102203	Favia favus	http://aims.fao.org/aos/agrovoc/c_49260	Favia favus	organisms	
NCBITaxon:102210	Benincasa	http://aims.fao.org/aos/agrovoc/c_32844	Benincasa	organisms	
NCBITaxon:102211	Benincasa hispida	http://aims.fao.org/aos/agrovoc/c_876	Benincasa hispida	organisms	
NCBITaxon:102285	Hymenolepis nana	http://aims.fao.org/aos/agrovoc/c_31958	Hymenolepis nana	organisms	
NCBITaxon:102289	Anomiidae	http://aims.fao.org/aos/agrovoc/c_48351	Anomiidae	organisms	
NCBITaxon:10229	Chaetognatha	http://aims.fao.org/aos/agrovoc/c_1490	Chaetognatha	organisms	
NCBITaxon:102291	Anomia ephippium	http://aims.fao.org/aos/agrovoc/c_48352	Anomia ephippium	organisms	
NCBITaxon:102301	Limidae	http://aims.fao.org/aos/agrovoc/c_48442	Limidae	organisms	
NCBITaxon:102304	Lima	http://aims.fao.org/aos/agrovoc/c_48443	Lima lima	organisms	
NCBITaxon:102305	Lima lima	http://aims.fao.org/aos/agrovoc/c_48443	Lima lima	organisms	
NCBITaxon:102312	Pteriidae	http://aims.fao.org/aos/agrovoc/c_47917	Pteriidae	organisms	
NCBITaxon:102318	Flexopecten glaber	http://aims.fao.org/aos/agrovoc/c_48001	Flexopecten glaber	organisms	
NCBITaxon:10232	Acanthocephala	http://aims.fao.org/aos/agrovoc/c_53	Acanthocephala	organisms	
NCBITaxon:102321	Hyotissa hyotis	http://aims.fao.org/aos/agrovoc/c_48276	Hyotissa hyotis	organisms	
NCBITaxon:102324	Modiolus auriculatus	http://aims.fao.org/aos/agrovoc/c_48069	Modiolus auriculatus	organisms	
NCBITaxon:102329	Pinctada margaritifera	http://aims.fao.org/aos/agrovoc/c_47919	Pinctada margaritifera	organisms	
NCBITaxon:102331	Pinna muricata	http://aims.fao.org/aos/agrovoc/c_48501	Pinna muricata	organisms	
NCBITaxon:10239	Viruses	http://aims.fao.org/aos/agrovoc/c_8262	viruses	organisms	
NCBITaxon:102393	Septifer bilocularis	http://aims.fao.org/aos/agrovoc/c_48063	Septifer bilocularis	organisms	
NCBITaxon:102394	Solemya togata	http://aims.fao.org/aos/agrovoc/c_48591	Solemya togata	organisms	
NCBITaxon:102398	Spondylidae	http://aims.fao.org/aos/agrovoc/c_48534	Spondylidae	organisms	
NCBITaxon:10240	Poxviridae	http://aims.fao.org/aos/agrovoc/c_6153	Poxviridae	organisms	
NCBITaxon:10242	Orthopoxvirus	http://aims.fao.org/aos/agrovoc/c_5431	Orthopoxvirus	organisms	
NCBITaxon:10243	Cowpox virus	http://aims.fao.org/aos/agrovoc/c_10147	Cowpox virus	organisms	
NCBITaxon:10257	Parapoxvirus	http://aims.fao.org/aos/agrovoc/c_5570	Parapoxvirus	organisms	
NCBITaxon:10260	Avipoxvirus	http://aims.fao.org/aos/agrovoc/c_743	Avipoxvirus	organisms	
NCBITaxon:10261	Fowlpox virus	http://aims.fao.org/aos/agrovoc/c_331475	Fowlpox virus	organisms	
NCBITaxon:102628	Pterocladiella caerulescens	http://aims.fao.org/aos/agrovoc/c_49738	Pterocladiella caerulescens	organisms	
NCBITaxon:102634	Malleidae	http://aims.fao.org/aos/agrovoc/c_48460	Malleidae	organisms	
NCBITaxon:10265	Capripoxvirus	http://aims.fao.org/aos/agrovoc/c_1284	Capripoxvirus	organisms	
NCBITaxon:102658	Opisthoteuthidae	http://aims.fao.org/aos/agrovoc/c_48856	Opisthoteuthidae	organisms	
NCBITaxon:102699	Quercus stellata	http://aims.fao.org/aos/agrovoc/c_33854	Quercus stellata	organisms	
