BFO:0000003	occurrent	PATO:0000057	occurrence
ENVO:00000266	pasture	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000267	submarine canyon	http://aims.fao.org/aos/agrovoc/c_3334	gorges
ENVO:00000283	ridge	UBERON:0004529	anatomical projection
ENVO:00000286	polder	http://aims.fao.org/aos/agrovoc/c_6472	reclaimed land
ENVO:00000292	watershed	http://aims.fao.org/aos/agrovoc/c_8334	watersheds
ENVO:00000294	fish farm	http://aims.fao.org/aos/agrovoc/c_36678	fish farms
ENVO:00000295	fish hatchery	http://aims.fao.org/aos/agrovoc/c_36679	fish hatcheries
ENVO:00000296	rice field	http://aims.fao.org/aos/agrovoc/c_2808	farmland
ENVO:00000300	scrubland	http://aims.fao.org/aos/agrovoc/c_28143	scrub
ENVO:00000301	chaparral	http://aims.fao.org/aos/agrovoc/c_28143	scrub
ENVO:00000302	rift valley	http://aims.fao.org/aos/agrovoc/c_5ce9893a	rift valleys
ENVO:00000303	sea coast	http://aims.fao.org/aos/agrovoc/c_9000021	Coastal area
ENVO:00000309	depression	http://aims.fao.org/aos/agrovoc/c_331502	Pan
ENVO:00000337	orange juice	http://aims.fao.org/aos/agrovoc/c_25492	orange juice
ENVO:00000338	vomit	UBERON:0000172	vomit
ENVO:00000358	protected area	http://aims.fao.org/aos/agrovoc/c_37952	protected areas
ENVO:00000362	marine park	http://aims.fao.org/aos/agrovoc/c_36402	marine parks
ENVO:00000363	nature reserve	http://aims.fao.org/aos/agrovoc/c_16141	nature reserves
ENVO:00000367	national park	http://aims.fao.org/aos/agrovoc/c_5079	national parks
ENVO:00000377	artificial lake	http://aims.fao.org/aos/agrovoc/c_8961	artificial lakes
ENVO:00000390	mountain spur	http://aims.fao.org/aos/agrovoc/c_32599	spurs
ENVO:00000393	sound	http://aims.fao.org/aos/agrovoc/c_7251	sound
ENVO:00000398	volcanic cone	http://aims.fao.org/aos/agrovoc/c_15957	cones
ENVO:00000419	stack	http://aims.fao.org/aos/agrovoc/c_28155	stacking
ENVO:00000428	biome	http://aims.fao.org/aos/agrovoc/c_2482	ecosystems
ENVO:00000444	clearing	UBERON:0004111	anatomical conduit
ENVO:00000463	harbor	http://aims.fao.org/aos/agrovoc/c_3492	harbours
ENVO:00000474	cut	http://aims.fao.org/aos/agrovoc/c_2046	cutting
ENVO:00000475	inlet	UBERON:0001460	arm
ENVO:00000477	mount	PATO:0001789	domed
ENVO:00000479	mouth	UBERON:0000165	mouth
ENVO:00000479	mouth	http://aims.fao.org/aos/agrovoc/c_4960	mouth
ENVO:00000499	trough	http://aims.fao.org/aos/agrovoc/c_7982	troughs
ENVO:00000508	terrace	http://aims.fao.org/aos/agrovoc/c_28166	terraces
ENVO:00000520	landslide	http://aims.fao.org/aos/agrovoc/c_4187	landslides
ENVO:00000533	landfill	http://aims.fao.org/aos/agrovoc/c_35171	landfills
ENVO:00000535	weir	http://aims.fao.org/aos/agrovoc/c_8352	weirs
ENVO:00000856	city	http://aims.fao.org/aos/agrovoc/c_7823	towns
ENVO:00000856	city	http://aims.fao.org/aos/agrovoc/c_8085	urban areas
ENVO:00001995	rock	http://aims.fao.org/aos/agrovoc/c_6628	rock
ENVO:00001998	soil	http://aims.fao.org/aos/agrovoc/c_7156	soil
ENVO:00001998	soil	http://aims.fao.org/aos/agrovoc/c_7196	soil structure
ENVO:00002000	slope	PATO:0001481	sloped
ENVO:00002001	waste water	http://aims.fao.org/aos/agrovoc/c_8308	wastewater
ENVO:00002002	food product	http://aims.fao.org/aos/agrovoc/c_3025	food production
ENVO:00002003	feces	UBERON:0001988	feces
ENVO:00002003	feces	http://aims.fao.org/aos/agrovoc/c_2772	faeces
ENVO:00002005	air	http://aims.fao.org/aos/agrovoc/c_224	air
ENVO:00002006	water	CHEBI:15377	water
ENVO:00002006	water	http://aims.fao.org/aos/agrovoc/c_8309	water
ENVO:00002007	sediment	http://aims.fao.org/aos/agrovoc/c_25341	sediment
ENVO:00002008	dust	http://aims.fao.org/aos/agrovoc/c_24127	dust
ENVO:00002010	saline water	http://aims.fao.org/aos/agrovoc/c_16376	saline water
ENVO:00002011	fresh water	http://aims.fao.org/aos/agrovoc/c_3102	freshwater
ENVO:00002018	sewage	http://aims.fao.org/aos/agrovoc/c_7007	sewage
ENVO:00002019	brackish water	http://aims.fao.org/aos/agrovoc/c_1049	brackish water
ENVO:00002033	carcass	http://aims.fao.org/aos/agrovoc/c_1310	carcasses
ENVO:00002040	wood	http://aims.fao.org/aos/agrovoc/c_8421	wood
ENVO:00002041	ground water	http://aims.fao.org/aos/agrovoc/c_3391	groundwater
ENVO:00002042	surface water	http://aims.fao.org/aos/agrovoc/c_25317	surface water
ENVO:00002046	activated sludge	http://aims.fao.org/aos/agrovoc/c_8611	activated sludge
ENVO:00002047	urine	UBERON:0001088	urine
ENVO:00002047	urine	http://aims.fao.org/aos/agrovoc/c_8103	urine
ENVO:00002053	limestone	http://aims.fao.org/aos/agrovoc/c_4342	limestone
ENVO:00002061	oil spill	http://aims.fao.org/aos/agrovoc/c_5332	oil spills
ENVO:00002123	bioreactor	http://aims.fao.org/aos/agrovoc/c_27469	bioreactors
ENVO:00002141	leachate	http://aims.fao.org/aos/agrovoc/c_35164	leachates
ENVO:00002149	sea water	http://aims.fao.org/aos/agrovoc/c_6903	sea water
ENVO:00002150	coastal sea water	http://aims.fao.org/aos/agrovoc/c_25205	Coastal waters
ENVO:00002164	fossil	http://aims.fao.org/aos/agrovoc/c_10989	fossils
ENVO:00002166	sausage	http://aims.fao.org/aos/agrovoc/c_6824	sausages
ENVO:00002170	compost	http://aims.fao.org/aos/agrovoc/c_15956	composting
ENVO:00002170	compost	http://aims.fao.org/aos/agrovoc/c_1795	composts
ENVO:00002173	hospital	http://aims.fao.org/aos/agrovoc/c_24183	hospitals
ENVO:00002190	yogurt	http://aims.fao.org/aos/agrovoc/c_15463	yoghurt
ENVO:00002191	animal litter	http://aims.fao.org/aos/agrovoc/c_434	litter for animals
ENVO:00002192	poultry litter	http://aims.fao.org/aos/agrovoc/c_434	litter for animals
ENVO:00002221	shop	http://aims.fao.org/aos/agrovoc/c_7044	shops
ENVO:00002229	arenosol	http://aims.fao.org/aos/agrovoc/c_601	arenosols
ENVO:00002229	arenosol	http://aims.fao.org/aos/agrovoc/c_6781	sandy soils
ENVO:00002232	andosol	http://aims.fao.org/aos/agrovoc/c_404	andosols
ENVO:00002234	acrisol	http://aims.fao.org/aos/agrovoc/c_101	acrisols
ENVO:00002235	cambisol	http://aims.fao.org/aos/agrovoc/c_1224	cambisols
